"Sr.No.","Countries"
1,"Algeria"
2,"Benin"
3,"Burkina Faso"
4,"Cabo Verde"
5,"Cameroon"
6,"Central African Republic"
7,"Chad"
8,"Democratic Republic of the Congo"
9,"Equatorial Guinea"
10,"Swaziland"
12,"Ethiopia"
13,"Gabon"
14,"Gambia"
15,"Ghana"
16,"Guinea"
17,"Ivory Coast"
18,"Kenya"
19,"Liberia"
20,"Mauritania"
21,"Mozambique"
22,"Namibia"
23,"Niger"
24,"Nigeria"
25,"Rwanda"
26,"Senegal"
27,"Seychelles"
28,"Somalia"
29,"South Africa"
30,"Sudan"
31,"Tanzania"
32,"Togo"
33,"Zambia"
34,"Zimbabwe"
36,"Argentina"
37,"Barbados"
38,"Belize"
39,"Bolivia"
40,"Brazil"
41,"Canada"
42,"Chile"
43,"Colombia"
44,"Costa Rica"
45,"Cuba"
46,"Dominica"
47,"Dominican Republic"
48,"Ecuador"
49,"El Salvador"
50,"French Guiana"
51,"Guadalupe"
52,"Guatemala"
53,"Guyana"
54,"Haiti"
55,"Honduras"
56,"Jamaica"
57,"Martinique"
58,"Mexico"
59,"Nicaragua"
60,"Panama"
61,"Paraguay"
62,"Peru"
63,"Saint Lucia"
65,"Suriname"
67,"Uruguay"
68,"USA"
69,"Afghanistan"
70,"Bahrain"
71,"Djibouti"
72,"Egypt"
73,"Iran"
74,"Iraq"
75,"Jordan"
76,"Kuwait"
77,"Lebanon"
78,"Morocco"
79,"Oman"
80,"Pakistan"
81,"Qatar"
82,"Saudi Arabia"
83,"Syria"
84,"Tunisia"
85,"United Arab Emirates"
86,"Albania"
87,"Andorra"
88,"Armenia"
89,"Austria"
90,"Azerbaijan"
91,"Belarus"
92,"Belgium"
93,"Bosnia and Herzegovina"
94,"Bulgaria"
95,"Croatia"
96,"Cyprus"
97,"Czech Republic"
98,"Denmark"
99,"Estonia"
100,"Finland"
101,"France"
102,"Georgia"
103,"Germany"
104,"Gibraltar"
105,"Greece"
106,"Vatican"
107,"Hungary"
108,"Iceland"
109,"Ireland"
110,"Israel"
111,"Italy"
112,"Kazakhstan"
113,"Kyrgyzstan"
114,"Latvia"
115,"Liechtenstein"
116,"Lithuania"
117,"Luxembourg"
118,"Malta"
119,"Moldova"
120,"Monaco"
121,"Montenegro"
122,"Netherlands"
123,"Macedonia"
124,"Norway"
125,"Poland"
126,"Portugal"
127,"Romania"
128,"Russia"
129,"San Marino"
130,"Serbia"
131,"Slovakia"
132,"Slovenia"
133,"Spain"
134,"Sweden"
135,"Switzerland"
136,"Turkey"
137,"Ukraine"
138,"UK"
139,"Bangladesh"
140,"Bhutan"
141,"India"
142,"Indonesia"
143,"Maldives"
144,"Mongolia"
145,"Nepal"
146,"North Korea"
147,"Sri Lanka"
148,"Thailand"
149,"Australia"
150,"Brunei"
151,"Cambodia"
152,"China"
153,"Fiji"
154,"Hong Kong"
155,"Japan"
156,"Laos"
157,"Macau"
158,"Malaysia"
159,"New Zealand"
160,"Philippines"
161,"Republic of Korea"
162,"Singapore"
163,"Taiwan"
164,"Vietnam"
161,"Antigua"
162,"Barbuda"
163,"Saint Vincent"
164,"Grenadines"
165,"Trinidad"
166,"Tobago"
